"","project.ref","id","text","percentage","encodedText"
"184","EP/D062985/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"185","EP/S020837/1","666CC8F4-4525-49AF-91C1-5675E0C8ADDF","Chem. React. Dyn. & mechanisms",20,"Chem.+React.+Dyn.+%26+mechanisms"
"186","EP/S020837/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",20,"Chemical+synthesis"
"187","EP/S020837/1","FA25733D-A456-4A1B-9D5C-7119577368D9","Manufacturing",60,"Manufacturing"
"188","EP/H006419/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",85,"Materials+sciences"
"189","EP/H006419/1","9CD2DA3B-F052-4076-95ED-10F46E76C382","Optics, photonics & lasers",15,"Optics%2C+photonics+%26+lasers"
"190","EP/G051704/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"191","EP/J012793/1","C087E953-30F3-4968-B0F3-D48A5998A2B4","Civil eng. & built environment",100,"Civil+eng.+%26+built+environment"
"192","EP/N031636/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",40,"Chemical+synthesis"
"193","EP/N031636/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",60,"Info.+%26+commun.+Technol."
"194","EP/D056756/1","863FC58A-7217-42EA-B076-663F2D770BB8","Chemical measurement",100,"Chemical+measurement"
"195","EP/J015563/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"196","EP/K039695/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"197","EP/F041772/1","99E0B904-CAB5-4511-AFB3-AA6D2B171F97","Process engineering",100,"Process+engineering"
"198","EP/K041274/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"199","EP/E015549/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",50,"Mechanical+Engineering"
"200","EP/E015549/1","FB535BD0-E265-4C0A-8532-32DCB83A3951","Tools, technologies & methods",50,"Tools%2C+technologies+%26+methods"
"201","EP/H008403/1","863FC58A-7217-42EA-B076-663F2D770BB8","Chemical measurement",25,"Chemical+measurement"
"202","EP/H008403/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",75,"Chemical+synthesis"
"203","EP/C542223/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",100,"Materials+sciences"
"204","EP/E057535/1","53F27348-198B-4AEF-A34B-8307067F507C","Systems engineering",50,"Systems+engineering"
"205","EP/E057535/1","FB535BD0-E265-4C0A-8532-32DCB83A3951","Tools, technologies & methods",50,"Tools%2C+technologies+%26+methods"
"206","EP/L001446/1","97B14C81-E082-430E-BC8F-733274083163","Supercond, magn. &quant.fluids",100,"Supercond%2C+magn.+%26quant.fluids"
"207","EP/L021986/1","DEA11FBC-BEED-4EDD-890B-97D728462D26","Mathematical sciences",100,"Mathematical+sciences"
"208","EP/I031758/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",70,"Mechanical+Engineering"
"209","EP/I031758/1","53F27348-198B-4AEF-A34B-8307067F507C","Systems engineering",30,"Systems+engineering"
"210","EP/F014325/1","D513F43E-F19D-4AB3-8E03-A47B085709AB","Materials Processing",50,"Materials+Processing"
"211","EP/F014325/1","E847DD9B-2053-4BC7-97A9-4213B185C968","Materials sciences",50,"Materials+sciences"
"212","EP/G063451/1","772CD758-53CD-407F-9B2C-F2B861E86155","Mechanical Engineering",100,"Mechanical+Engineering"
"213","EP/E004156/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
"214","EP/D035384/1","60EBB420-734E-4DB5-B0F2-65A1115A27F8","Chemical synthesis",100,"Chemical+synthesis"
"215","EP/F026129/1","EB5F16BB-2772-4DDE-BD6C-3B7A6914B64C","Info. & commun. Technol.",100,"Info.+%26+commun.+Technol."
