name,proportion_male,count
ashwathy,0,6
ashwin,0.99,1100
ashwini,0.27,428
asier,0.99,4039
asif,0.99,4847
asim,0.98,3463
asimina,0.030000000000000027,102
asio,0.67,45
asit,0.96,73
asm,0.93,2084
asma,0.030000000000000027,9687
asmae,0.020000000000000018,3404
assaf,0.98,304
assyr,1,3
asterios,0.99,179
astley,0.65,20
astrid,0.030000000000000027,12499
asyl,0.57,54
ata,0.9,3839
atanas,0.99,457
atau,0.67,3
ataulhabib,NA,NA
athanasia,0.010000000000000009,498
athanasios,0.99,753
athanassios,1,47
athene,0.21999999999999997,46
athina,0.020000000000000018,1673
athole,NA,NA
atikah,0.030000000000000027,124
atilla,0.97,9445
atis,0.91,297
atli,0.96,71
atsufumi,1,7
atta,0.83,717
atticus,0.91,74
attila,0.99,23205
atul,0.99,1337
aubin,0.95,954
aubrey,0.53,1180
aude,0.030000000000000027,8767
audrey,0.030000000000000027,54814
augustine,0.73,2227
aurélien,NA,NA
aurimas,1,432
auris,0.61,121
aurobrata,NA,NA
aurora,0.020000000000000018,16234
ausilio,0.96,46
auste,0.06999999999999995,14
austen,0.92,119
austin,0.98,4612
auxtine,NA,NA
ava,0.09999999999999998,1774
avelie,0,1
averil,0.08999999999999997,45
avgoustinos,1,20
avinash,0.99,1582
avishkar,1,13
avni,0.95,2086
avril,0.07999999999999996,1709
avtar,0.98,180
awais,0.99,1054
axel,0.98,20345
aya,0.050000000000000044,12830
ayalvadi,NA,NA
ayan,0.56,1369
ayaz,0.94,4813
aydan,0.06999999999999995,2148
aydin,0.96,4882
ayesha,0.030000000000000027,1619
ayla,0.030000000000000027,7074
aylmer,0,1
aymeric,0.99,3762
ayobami,0.83,759
ayodhya,0.67,9
ayoub,0.97,14434
ayrton,0.97,667
ayse,0.040000000000000036,16275
ayusha,0.31000000000000005,16
azadeh,0.020000000000000018,927
azeem,0.98,617
azeezat,0.030000000000000027,71
azhan,0.93,28
aziem,1,9
aziz,0.97,41366
azubuike,0.92,157
azzedine,0.98,1688
b,0.68,7348
babak,0.98,2732
babur,0.96,134
bahaa,0.95,1304
baharak,0.040000000000000036,83
bahattin,0.97,2748
bahijja,0,1
bahman,0.98,659
bahram,0.99,858
baibing,0.67,3
baihua,NA,NA
bained,NA,NA
baixin,0.5,2
baker,0.95,733
bakhtier,1,6
balarko,1,1
balasubramaniam,0.92,37
balazs,0.94,1271
baldev,0.94,72
balint,0.72,661
baljean,NA,NA
baljinder,0.89,114
bamber,0.75,8
bamidele,0.93,883
banafshe,0.010000000000000009,89
